Species,Abundance,Body size,Habitat type,Study site,Area,Acronym
 Harpalus niigatanus,1,Medium-sized species,Open land species ,Niwasiro park,Medium area,NI
 Anisodactylus sadoensis,1,Medium-sized species,Open land species ,Niwasiro park,Medium area,NI
 Amara chalcites,1,Small-sized species,Open land species ,Niwasiro park,Medium area,NI
 Synuchus dulcigradus,66,Small-sized species,Forest species ,Kurotoriyama park,Medium area,KU
 Synuchus nitidus,49,Medium-sized species,Forest species ,Kurotoriyama park,Medium area,KU
 Carabus yaconinus,34,Large-sized species,Forest species ,Kurotoriyama park,Medium area,KU
 Harpalus griseus,20,Medium-sized species,Open land species ,Kurotoriyama park,Medium area,KU
 Harpalus sinicus,15,Medium-sized species,Open land species ,Kurotoriyama park,Medium area,KU
 Anisodactylus signatus,9,Medium-sized species,Open land species ,Kurotoriyama park,Medium area,KU
 Dolichus halensis,6,Medium-sized species,Open land species ,Kurotoriyama park,Medium area,KU
 Amara congrua ,5,Small-sized species,Open land species ,Kurotoriyama park,Medium area,KU
 Harpalus niigatanus,5,Medium-sized species,Open land species ,Kurotoriyama park,Medium area,KU
 Chlaenius virgulifer,5,Medium-sized species,Open land species ,Kurotoriyama park,Medium area,KU
 Synuchus arcuaticollis,4,Small-sized species,Forest species ,Kurotoriyama park,Medium area,KU
 Synuchus cycloderus,4,Medium-sized species,Forest species ,Kurotoriyama park,Medium area,KU
 Chlaenius naeviger,4,Medium-sized species,Forest species ,Kurotoriyama park,Medium area,KU
 Archipatrobus flavipes,2,Medium-sized species,Open land species ,Kurotoriyama park,Medium area,KU
 Haplochlaenius costiger,2,Large-sized species,Forest species ,Kurotoriyama park,Medium area,KU
 Brachinus scotomedes,2,Medium-sized species,Forest species ,Kurotoriyama park,Medium area,KU
 Stenolophus fulvicornis,2,Small-sized species,Open land species ,Kurotoriyama park,Medium area,KU
 Anisodactylus sadoensis,1,Medium-sized species,Open land species ,Kurotoriyama park,Medium area,KU
 Pheropsophus jessoensis,1,Medium-sized species,Open land species ,Kurotoriyama park,Medium area,KU
 Harpalus eous,1,Medium-sized species,Open land species ,Kurotoriyama park,Medium area,KU
 Harpalus tridens,1,Medium-sized species,Open land species ,Kurotoriyama park,Medium area,KU
 Lesticus magnus,1,Large-sized species,Open land species ,Kurotoriyama park,Medium area,KU
 Amara macronota,1,Medium-sized species,Open land species ,Kurotoriyama park,Medium area,KU
 Galerita orientalis ,1,Large-sized species,Forest species ,Kurotoriyama park,Medium area,KU
 Anisodactylus signatus,1,Medium-sized species,Open land species ,Umitonohureaihiroba,Large area,UM
 Haplochlaenius costiger,1,Large-sized species,Forest species ,Umitonohureaihiroba,Large area,UM
 Harpalus simplicidens,1,Medium-sized species,Open land species ,Umitonohureaihiroba,Large area,UM
 Pterostichus microcephalus,1,Small-sized species,Open land species ,Umitonohureaihiroba,Large area,UM
 Amara gigantea,1,Medium-sized species,Open land species ,Umitonohureaihiroba,Large area,UM
 Platymetopus flavilabris,1,Small-sized species,Open land species ,Umitonohureaihiroba,Large area,UM
 Chlaenius pallipes,1,Medium-sized species,Open land species ,Umitonohureaihiroba,Large area,UM
 Archipatrobus flavipes,2,Medium-sized species,Open land species ,Umitonohureaihiroba,Large area,UM
 Amara macronota,2,Medium-sized species,Open land species ,Umitonohureaihiroba,Large area,UM
 Harpalus capito,2,Large-sized species,Open land species ,Umitonohureaihiroba,Large area,UM
 Campalita chinense,2,Large-sized species,Open land species ,Umitonohureaihiroba,Large area,UM
 Amara nipponica,2,Small-sized species,Open land species ,Umitonohureaihiroba,Large area,UM
 Harpalus niigatanus,3,Medium-sized species,Open land species ,Umitonohureaihiroba,Large area,UM
 Chlaenius virgulifer,3,Medium-sized species,Open land species ,Umitonohureaihiroba,Large area,UM
 Anisodactylus sadoensis,3,Medium-sized species,Open land species ,Umitonohureaihiroba,Large area,UM
 Pterostichus prolongatus,3,Medium-sized species,Open land species ,Umitonohureaihiroba,Large area,UM
 Harpalus eous,4,Medium-sized species,Open land species ,Umitonohureaihiroba,Large area,UM
 Chlaenius  posticalis,4,Medium-sized species,Open land species ,Umitonohureaihiroba,Large area,UM
 Synuchus dulcigradus,5,Small-sized species,Forest species ,Umitonohureaihiroba,Large area,UM
 Scarites terricola pacificus,5,Medium-sized species,Open land species ,Umitonohureaihiroba,Large area,UM
 Harpalus tinctulus,5,Small-sized species,Open land species ,Umitonohureaihiroba,Large area,UM
 Chlaenius micans,6,Medium-sized species,Open land species ,Umitonohureaihiroba,Large area,UM
 Lesticus magnus,8,Large-sized species,Open land species ,Umitonohureaihiroba,Large area,UM
 Amara congrua ,11,Small-sized species,Open land species ,Umitonohureaihiroba,Large area,UM
 Pterostichus fortis ,11,Medium-sized species,Open land species ,Umitonohureaihiroba,Large area,UM
 Aephnidius adelioides,26,Small-sized species,Open land species ,Umitonohureaihiroba,Large area,UM
 Harpalus sinicus,44,Medium-sized species,Open land species ,Umitonohureaihiroba,Large area,UM
 Harpalus griseus,74,Medium-sized species,Open land species ,Umitonohureaihiroba,Large area,UM
 Pheropsophus jessoensis,87,Medium-sized species,Open land species ,Umitonohureaihiroba,Large area,UM
 Dolichus halensis,132,Medium-sized species,Open land species ,Umitonohureaihiroba,Large area,UM
 Amara nipponica,1,Small-sized species,Open land species ,Kouzen park,Large area,KO
 Harpalus tridens,1,Medium-sized species,Open land species ,Kouzen park,Large area,KO
 Galerita orientalis ,1,Large-sized species,Forest species ,Kouzen park,Large area,KO
 S. quinquepustulatus,1,Small-sized species,Open land species ,Kouzen park,Large area,KO
 Pterostichus microcephalus,2,Small-sized species,Open land species ,Kouzen park,Large area,KO
 Lesticus magnus,2,Large-sized species,Open land species ,Kouzen park,Large area,KO
 Harpalus eous,3,Medium-sized species,Open land species ,Kouzen park,Large area,KO
 Anisodactylus tricuspidatus,3,Medium-sized species,Forest species ,Kouzen park,Large area,KO
 Scarites terricola pacificus,4,Medium-sized species,Open land species ,Kouzen park,Large area,KO
 Chlaenius virgulifer,5,Medium-sized species,Open land species ,Kouzen park,Large area,KO
 Harpalus chalcentus,6,Medium-sized species,Open land species ,Kouzen park,Large area,KO
 Anisodactylus sadoensis,8,Medium-sized species,Open land species ,Kouzen park,Large area,KO
 Harpalus griseus,11,Medium-sized species,Open land species ,Kouzen park,Large area,KO
 Amara congrua ,18,Small-sized species,Open land species ,Kouzen park,Large area,KO
 Harpalus tinctulus,19,Small-sized species,Open land species ,Kouzen park,Large area,KO
 Synuchus dulcigradus,29,Small-sized species,Forest species ,Kouzen park,Large area,KO
 Pterostichus sulcitarsis,41,Small-sized species,Open land species ,Kouzen park,Large area,KO
 Synuchus nitidus,43,Medium-sized species,Forest species ,Kouzen park,Large area,KO
 Dolichus halensis,76,Medium-sized species,Open land species ,Kouzen park,Large area,KO
 Harpalus sinicus,89,Medium-sized species,Open land species ,Kouzen park,Large area,KO
 Harpalus tridens,1,Medium-sized species,Open land species ,Koumyouike park,Large area,KM
 Pterostichus microcephalus,1,Small-sized species,Open land species ,Koumyouike park,Large area,KM
 Chlaenius virgulifer,1,Medium-sized species,Open land species ,Koumyouike park,Large area,KM
 Anisodactylus sadoensis,1,Medium-sized species,Open land species ,Koumyouike park,Large area,KM
 Harpalus griseus,1,Medium-sized species,Open land species ,Koumyouike park,Large area,KM
 Harpalus tinctulus,1,Small-sized species,Open land species ,Koumyouike park,Large area,KM
 Anisodactylus signatus,1,Medium-sized species,Open land species ,Koumyouike park,Large area,KM
 Synuchus cycloderus,1,Medium-sized species,Forest species ,Koumyouike park,Large area,KM
 Brachinus scotomedes,1,Medium-sized species,Forest species ,Koumyouike park,Large area,KM
 Harpalus sinicus,2,Medium-sized species,Open land species ,Koumyouike park,Large area,KM
 Chlaenius variicornis,2,Medium-sized species,Open land species ,Koumyouike park,Large area,KM
 Galerita orientalis ,3,Large-sized species,Forest species ,Koumyouike park,Large area,KM
 Amara congrua ,3,Small-sized species,Open land species ,Koumyouike park,Large area,KM
 Pterostichus sulcitarsis,3,Small-sized species,Open land species ,Koumyouike park,Large area,KM
 Haplochlaenius costiger,3,Large-sized species,Forest species ,Koumyouike park,Large area,KM
 Synuchus arcuaticollis,3,Small-sized species,Forest species ,Koumyouike park,Large area,KM
 Pterostichus polygenus,3,Small-sized species,Open land species ,Koumyouike park,Large area,KM
 Lesticus magnus,4,Large-sized species,Open land species ,Koumyouike park,Large area,KM
 Harpalus eous,4,Medium-sized species,Open land species ,Koumyouike park,Large area,KM
 Synuchus nitidus,4,Medium-sized species,Forest species ,Koumyouike park,Large area,KM
 Dolichus halensis,4,Medium-sized species,Open land species ,Koumyouike park,Large area,KM
 Leptocarabus kumagaii,4,Large-sized species,Forest species ,Koumyouike park,Large area,KM
 Harpalus niigatanus,6,Medium-sized species,Open land species ,Koumyouike park,Large area,KM
 Pheropsophus jessoensis,10,Medium-sized species,Open land species ,Koumyouike park,Large area,KM
 Carabus yaconinus,14,Large-sized species,Forest species ,Koumyouike park,Large area,KM
 Synuchus dulcigradus,17,Small-sized species,Forest species ,Koumyouike park,Large area,KM
 Chlaenius naeviger,23,Medium-sized species,Forest species ,Koumyouike park,Large area,KM
